,aX,aY,aZ,gX,gY,gZ
216,-11.401,1.288,0.512,0.181,-1.468,-0.25
217,-11.21,1.245,0.594,0.093,-1.586,-0.274
218,-10.932,1.154,0.723,-0.028,-1.689,-0.31
219,-10.712,1.063,0.843,-0.118,-1.724,-0.339
220,-10.396,0.943,0.991,-0.231,-1.714,-0.38
221,-10.142,0.838,1.097,-0.308,-1.669,-0.412
222,-9.883,0.728,1.207,-0.378,-1.591,-0.444
223,-9.553,0.579,1.384,-0.458,-1.448,-0.487
224,-9.323,0.469,1.532,-0.507,-1.318,-0.517
225,-9.103,0.359,1.657,-0.548,-1.173,-0.548
226,-8.835,0.22,1.748,-0.59,-0.966,-0.586
227,-8.643,0.124,1.738,-0.614,-0.799,-0.611
228,-8.423,0.019,1.647,-0.634,-0.562,-0.642
229,-8.289,-0.057,1.561,-0.643,-0.379,-0.662
230,-8.198,-0.124,1.508,-0.648,-0.197,-0.677
231,-8.145,-0.239,1.451,-0.654,0.038,-0.694
232,-8.164,-0.34,1.422,-0.661,0.201,-0.704
233,-8.241,-0.46,1.398,-0.673,0.351,-0.714
234,-8.437,-0.642,1.398,-0.701,0.527,-0.725
235,-8.657,-0.781,1.422,-0.732,0.641,-0.734
236,-9.045,-0.943,1.499,-0.785,0.771,-0.747
237,-10.874,-1.01,1.508,-0.95,1.075,-0.719
238,-11.478,-0.881,1.302,-0.963,1.176,-0.668
239,-11.885,-0.771,1.053,-0.953,1.264,-0.613
240,-12.234,-0.67,0.733,-0.926,1.365,-0.547
241,-12.584,-0.603,0.225,-0.87,1.516,-0.444
242,-12.756,-0.608,-0.172,-0.815,1.633,-0.363
243,-12.847,-0.666,-0.579,-0.753,1.748,-0.284
244,-12.866,-0.809,-1.087,-0.659,1.882,-0.189
245,-12.823,-0.948,-1.398,-0.583,1.958,-0.131
246,-12.742,-1.14,-1.662,-0.474,2.012,-0.071
247,-12.694,-1.283,-1.733,-0.384,2.005,-0.04
248,-12.67,-1.403,-1.743,-0.286,1.956,-0.021
249,-12.708,-1.532,-1.686,-0.141,1.83,-0.009
250,-12.809,-1.604,-1.58,-0.02,1.699,-0.008
251,-13.039,-1.671,-1.355,0.155,1.486,-0.016
252,-13.254,-1.705,-1.168,0.294,1.308,-0.026
253,-13.484,-1.709,-1.063,0.435,1.131,-0.037
254,-13.781,-1.681,-1.03,0.623,0.925,-0.053
255,-13.977,-1.628,-1.053,0.76,0.807,-0.065
256,-14.145,-1.566,-1.13,0.889,0.731,-0.077
257,-14.289,-1.489,-1.302,1.045,0.701,-0.094
258,-14.336,-1.413,-1.504,1.146,0.735,-0.108
259,-14.308,-1.322,-1.824,1.257,0.849,-0.128
260,-14.236,-1.283,-2.016,1.322,0.972,-0.147
261,-14.159,-1.283,-2.088,1.367,1.109,-0.17
262,-14.02,-1.384,-2.212,1.391,1.28,-0.209
263,-13.953,-1.528,-2.38,1.383,1.401,-0.249
264,-13.92,-1.733,-2.715,1.353,1.515,-0.298
265,-13.757,-2.126,-4.041,1.28,1.701,-0.374
266,-13.69,-2.485,-5.219,1.202,1.905,-0.44
267,-16.817,-3.132,-6.177,0.78,3.042,-0.734
268,-18.68,-2.993,-4.851,0.722,3.085,-0.767
269,-20.719,-2.763,-3.745,0.694,3.021,-0.784
270,-23.559,-2.337,-2.088,0.709,2.795,-0.783
271,-25.704,-1.882,-0.441,0.758,2.501,-0.763
272,-28.582,-0.891,2.093,0.874,1.885,-0.697
273,-30.617,0.196,3.543,1.005,1.268,-0.604
274,-32.461,1.475,4.223,1.177,0.59,-0.466
