,aX,aY,aZ,gX,gY,gZ
187,-9.562,-1.03,0.891,-0.033,0.243,0.01
188,-9.582,-1.03,0.886,-0.032,0.237,0.014
189,-9.61,-1.03,0.876,-0.032,0.225,0.019
190,-9.625,-1.034,0.871,-0.032,0.213,0.024
191,-9.644,-1.039,0.871,-0.03,0.195,0.031
192,-9.644,-1.039,0.867,-0.029,0.179,0.035
193,-9.649,-1.034,0.862,-0.029,0.162,0.039
194,-9.634,-1.02,0.862,-0.028,0.139,0.045
195,-9.615,-1.006,0.857,-0.028,0.121,0.049
196,-9.591,-0.991,0.852,-0.028,0.103,0.052
197,-9.558,-0.972,0.852,-0.029,0.08,0.056
198,-9.524,-0.958,0.857,-0.03,0.063,0.06
199,-9.491,-0.943,0.862,-0.032,0.048,0.062
200,-9.433,-0.929,0.862,-0.035,0.031,0.063
201,-9.385,-0.915,0.857,-0.039,0.02,0.064
202,-9.337,-0.905,0.852,-0.042,0.01,0.063
203,-9.27,-0.891,0.848,-0.048,0.001,0.062
204,-9.213,-0.886,0.848,-0.053,-0.004,0.06
205,-9.136,-0.876,0.852,-0.061,-0.007,0.055
206,-9.103,-0.867,0.848,-0.067,-0.006,0.051
207,-9.06,-0.867,0.843,-0.075,-0.004,0.045
208,-9.012,-0.857,0.838,-0.087,0.003,0.037
209,-8.973,-0.857,0.838,-0.097,0.009,0.031
210,-8.95,-0.852,0.828,-0.107,0.017,0.023
211,-8.921,-0.848,0.814,-0.122,0.032,0.014
212,-8.902,-0.852,0.795,-0.134,0.043,0.006
213,-8.887,-0.857,0.795,-0.146,0.054,-0.0
214,-8.882,-0.857,0.795,-0.163,0.07,-0.009
215,-8.882,-0.862,0.795,-0.175,0.081,-0.016
216,-8.878,-0.867,0.8,-0.191,0.094,-0.023
217,-8.878,-0.876,0.804,-0.203,0.102,-0.027
218,-8.882,-0.886,0.804,-0.213,0.108,-0.031
219,-8.897,-0.9,0.79,-0.225,0.113,-0.035
220,-8.911,-0.91,0.79,-0.234,0.115,-0.037
221,-8.93,-0.924,0.8,-0.242,0.114,-0.037
222,-8.945,-0.939,0.795,-0.251,0.111,-0.038
223,-8.959,-0.953,0.8,-0.257,0.107,-0.038
224,-8.978,-0.972,0.785,-0.264,0.098,-0.037
225,-8.997,-0.991,0.781,-0.269,0.091,-0.035
226,-9.074,-1.082,0.761,-0.284,0.059,-0.023
227,-9.093,-1.101,0.761,-0.286,0.05,-0.019
228,-9.098,-1.116,0.757,-0.289,0.044,-0.015
229,-9.108,-1.13,0.752,-0.29,0.037,-0.009
230,-9.117,-1.14,0.747,-0.29,0.033,-0.006
231,-9.131,-1.144,0.742,-0.291,0.03,-0.002
232,-9.146,-1.149,0.747,-0.291,0.025,0.003
